wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.419415499999999 37.774929499999999),168 Clemintine,,,Citrus,Citrus,"""winter",196
POINT (-122.41079717874527 37.776500540318089),2 Sumner St,,,Citrus,Citrus,"""winter",198
POINT (-122.409957647323608 37.775887847672436),675-679 Clementina St,,,Citrus,Citrus,"""winter",199
POINT (-122.4087924260553 37.732469815334447),171 Sweeny Street,,,Citrus,Citrus,"""winter",301
POINT (-122.439693666666656 37.781440377290075),2035 Ellis St,37.7814321,-122.439697,Citrus,Citrus,"""winter",96306
POINT (-122.441244800000007 37.763508600000002),100 STAIRWAY37,37.7635086,-122.4412448,Citrus,Citrus,"""winter",110934
POINT (-122.441244800000007 37.763508600000002),44 Vulcan Stairs,37.7635086,-122.4412448,Citrus,Citrus,"""winter",110935
POINT (-122.454224824905396 37.763325469261872),1451 Willard St,,,Citrus,Citrus,"""winter",160216
POINT (-122.403788566589355 37.752192464664724),2518 25th St,,,Citrus,Citrus,"""winter",182131
POINT (-122.423247992992401 37.760770327779298),Guerrero St,,,Citrus,Citrus,"""winter",182284
POINT (-122.410885691642761 37.740964458432543),133 Nevada Street,,,Citrus,Citrus,"""winter",182716
POINT (-122.402846436774539 37.798496171663011),350 Broadway,,,Citrus,Clementine,winter,348
POINT (-122.441449000000006 37.732123999999999),277 Joost Avenue,,,Citrus,Clementine,winter,386
POINT (-122.418617762024837 37.746210514449857),30 Coso Avenue,,,Citrus,Clementine,winter,558
POINT (-122.416694465614881 37.758891685574554),882 south vanness,,,Ficus carica,Common fig,"""summer",398
POINT (-122.475138860712605 37.73277641682126),19th Ave & Ocean Ave,,,Ficus carica,Common fig,"""summer",403
POINT (-122.438004145115727 37.761947359950248),2630 Market Street,,,Ficus carica,Common fig,"""summer",577
POINT (-122.418599999999998 37.746160000000003),33 Powers Ave,,,Ficus carica,Common fig,"""summer",1846
POINT (-122.406419400000004 37.777848400000003),21 Columbia Square,37.7778484,-122.4064194,Ficus carica,Common fig,"""summer",98422
POINT (-122.425834958240827 37.791534919207947),1950 Gough Street,37.791558,-122.425677,Ficus carica,Common fig,"""summer",100952
POINT (-122.433711099999996 37.778367799999998),1315 McAllister St,37.7783678,-122.4337111,Ficus carica,Common fig,"""summer",105844
POINT (-122.433988253695816 37.778268513417018),1347 McAllister Street,37.778066,-122.433951,Ficus carica,Common fig,"""summer",105852
POINT (-122.440837922747576 37.77177450725879),1206 Page Street,37.771913,-122.441063,Ficus carica,Common fig,"""summer",149183
POINT (-122.410981657282989 37.754368775834507),2944 23rd St,37.75448,-122.410991,Ficus carica,Common fig,"""summer",181592
POINT (-122.439531683921814 37.779036058661532),1720 Golden Gate Avenue,,,Ficus carica,Common fig,"""summer",182047
POINT (-122.390754371881485 37.757683896035395),22nd St,,,Ficus carica,Common fig,"""summer",182290
POINT (-122.390689998865128 37.757683896035395),915 22nd Street,,,Ficus carica,Common fig,"""summer",182291
POINT (-122.412906736135483 37.792247542572142),1055 Taylor Street,,,Ficus carica,Common fig,"""summer",182331
POINT (-122.418610453605652 37.746148131998133),30 Coso Avenue,,,Ficus carica,Common fig,"""summer",182462
POINT (-122.412320673465729 37.740738565875773),154 Prentiss Street,,,Ficus carica,Common fig,"""summer",182529
POINT (-122.439530342817307 37.772371656919631),1124 Page Street,,,Ficus carica,Common fig,"""summer",182557
POINT (-122.404354512691498 37.802343487803569),1420 Montgomery Street,,,Ficus carica,Common fig,"""summer",182583
POINT (-122.404365241527557 37.802409185877693),34 Darrell Pl,,,Ficus carica,Common fig,"""summer",182584
POINT (-122.404367923736572 37.802443094538226),1420 Montgomery Street,,,Ficus carica,Common fig,"""summer",182585
POINT (-122.490944999999996 37.750762000000002),1950 33rd ave,,,Pyrus communis,Common pear,fall,290
POINT (-122.473245145995648 37.760374048463653),1484 16th Avenue,,,Pyrus communis,Common pear,fall,327
POINT (-122.443196999999998 37.730462000000003),251 Hearst Avenue,,,Pyrus communis,Common pear,fall,381
POINT (-122.439351982802819 37.732508485184695),178 Joost Avenue,,,Pyrus communis,Common pear,fall,385
POINT (-122.426721999999998 37.723443000000003),277 Athens,,,Pyrus communis,Common pear,fall,389
POINT (-122.416753474212157 37.759001953564358),3380 20th Street,,,Pyrus communis,Common pear,fall,397
POINT (-122.443196999999998 37.730462000000003),251 Hearst Avenue,,,Prunus domestica,Common plum,summer,382
POINT (-122.416587177305217 37.758912890970521),3380 20th Street,,,Prunus domestica,Common plum,summer,399
POINT (-122.390244737440455 37.719975858646798),1127 Fitzgerald Avenue,,,Prunus domestica,Common plum,summer,414
POINT (-122.415899381615048 37.75510279351834),824 Shotwell,,,Prunus domestica,Common plum,summer,476
POINT (-122.415974483458768 37.755107034815225),824 Shotwell Street,,,Prunus domestica,Common plum,summer,477
POINT (-122.419597747041124 37.732273547336959),700 Alemany Blvd,,,Prunus domestica,Common plum,summer,2021
POINT (-122.439478378251621 37.782658196457007),1401 Divisadero Street,,,Prunus domestica,Common plum,summer,2041
POINT (-122.423703968524933 37.772124658639434),22 Waller St,,,Phoenix dactylifera,Date palm,fall,193
POINT (-122.425796130960919 37.7575766),740 Dolores St,37.7575666,-122.4257966,Phoenix dactylifera,Date palm,fall,116032
POINT (-122.424489855766296 37.74480558689789),1546 Dolores Street,37.744738,-122.424791,Phoenix dactylifera,Date palm,fall,116120
POINT (-122.424157466666671 37.740473844369582),1798 Dolores St,37.7404737,-122.4241533,Phoenix dactylifera,Date palm,fall,116141
POINT (-122.42415726184845 37.741246558028401),1762-1770 Dolores St,,,Phoenix dactylifera,Date palm,fall,182632
POINT (-122.446136545349944 37.790338975389176),2107 Lyon Street,,,Taxus baccata,English yew,,2126
POINT (-122.448796033859253 37.748449278247257),98 Midcrest Way,,,Taxus baccata,English yew,,182075
POINT (-122.379690030434787 37.738013902757437),1100 Evans Ave,37.7380134,-122.3796509,Celtis australis,European hackberry,"""summer",97470
POINT (-122.379670900000008 37.738013820530483),1100 Evans Ave,37.7380134,-122.3796509,Celtis australis,European hackberry,"""summer",97471
POINT (-122.379675344444451 37.738013913981703),1100 Evans Ave,37.7380134,-122.3796509,Celtis australis,European hackberry,"""summer",97475
POINT (-122.38094453870967 37.738849550792835),1200 Evans Ave,37.7388493,-122.3808897,Celtis australis,European hackberry,"""summer",97514
POINT (-122.387653875210873 37.742722916230903),1550 Evans Ave,37.743088,-122.387019,Celtis australis,European hackberry,"""summer",97700
POINT (-122.4025278 37.764132099999998),450 Rhode Island Street,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180849
POINT (-122.402527796647945 37.764134168965512),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180850
POINT (-122.402527783239734 37.764142444827584),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180851
POINT (-122.402527763127409 37.764154858620685),450 Rhode Island Street,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180852
POINT (-122.402527759775353 37.764156927586207),450 Rhode Island Street,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180853
POINT (-122.402527739663029 37.764169341379308),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180854
POINT (-122.402527729606859 37.764175548275858),450 Rhode Island Street,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180855
POINT (-122.402527706505609 37.764165923529411),450 Rhode Island Street,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180856
POINT (-122.402527722902747 37.764179686206894),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180857
POINT (-122.402527686180747 37.764173276470586),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180858
POINT (-122.402527712846592 37.764185893103445),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180859
POINT (-122.40252767398583 37.764177688235293),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180860
POINT (-122.402527706142479 37.764190031034481),450 Rhode Island St,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180861
POINT (-122.402527702790422 37.764192099999995),401-499 Rhode Island Street,37.7641321,-122.4025278,Celtis australis,European hackberry,"""summer",180862
POINT (-122.44001326099837 37.724999381616186),185 otsego ave,,,Malus floribunda,Flowering crab apple,"""summer",2647
POINT (-122.432053062163661 37.748270770381197),4110 26th Street,37.748443,-122.432068,Malus floribunda,Flowering crab apple,"""summer",130341
POINT (-122.432053062163661 37.748270770381197),4120 26th St,37.748443,-122.432068,Malus floribunda,Flowering crab apple,"""summer",130342
POINT (-122.464571306958987 37.728494252469083),100 Pinehurst Way,37.728447,-122.464443,Malus floribunda,Flowering crab apple,"""summer",132866
POINT (-122.432951531021828 37.743391830575348),584 29th St,37.743546,-122.432963,Malus floribunda,Flowering crab apple,"""summer",134413
POINT (-122.482118463173677 37.775024157233794),674-676 23rd Avenue,37.775036,-122.481892,Malus floribunda,Flowering crab apple,"""summer",136047
POINT (-122.450464181121319 37.770305266608766),501 Cole Street,37.770276,-122.450666,Malus floribunda,Flowering crab apple,"""summer",136983
POINT (-122.442490750343325 37.797233603945536),2600 Filbert Street,37.797437,-122.442528,Malus floribunda,Flowering crab apple,"""summer",137490
POINT (-122.435203102153011 37.732817754078631),169 Brompton Ave,37.732778,-122.435023,Malus floribunda,Flowering crab apple,"""summer",138540
POINT (-122.441526475757527 37.73243946558329),278 Joost Ave,37.7325919,-122.44153,Malus floribunda,Flowering crab apple,"""summer",138785
POINT (-122.480062773628831 37.782330190092949),1922 Clement Street,37.782488,-122.480073,Malus floribunda,Flowering crab apple,"""summer",140358
POINT (-122.456528736896828 37.728437403165287),1435 Plymouth Ave,37.728426,-122.456712,Malus floribunda,Flowering crab apple,"""summer",140497
POINT (-122.456528736896828 37.728437403165287),1441 Plymouth Avenue,37.728426,-122.456712,Malus floribunda,Flowering crab apple,"""summer",140498
POINT (-122.448174818695009 37.764989940923869),25 Parnassus Avenue,37.764839,-122.448147,Malus floribunda,Flowering crab apple,"""summer",142072
POINT (-122.451891417449829 37.730598018000514),631 Hearst Ave,37.730427,-122.45189,Malus floribunda,Flowering crab apple,"""summer",142519
POINT (-122.409450911564818 37.749636756285035),2976 26th St,37.749788,-122.409464,Malus floribunda,Flowering crab apple,"""summer",143010
POINT (-122.419837295655682 37.80012951864088),1234 Filbert St,,,Malus floribunda,Flowering crab apple,"""summer",157630
POINT (-122.396610387453478 37.778289228221283),501-525 Brannan Street,,,Malus floribunda,Flowering crab apple,"""summer",160285
POINT (-122.470055849815921 37.72749855185311),52 Mercedes Way,,,Malus floribunda,Flowering crab apple,"""summer",160799
POINT (-122.437353454520519 37.728531739018948),140 Capistrano Ave,,,Malus floribunda,Flowering crab apple,"""summer",160929
POINT (-122.473261487995075 37.75307147567181),1871 16th Avenue,,,Malus floribunda,Flowering crab apple,"""summer",161007
POINT (-122.421571989302961 37.770804889468323),1349 Stevenson St,,,Malus floribunda,Flowering crab apple,"""summer",161167
POINT (-122.431579503172898 37.749340267502674),1241 Noe Street,,,Malus floribunda,Flowering crab apple,"""summer",163551
POINT (-122.431579503172898 37.749340267502674),1231 Noe Street,,,Malus floribunda,Flowering crab apple,"""summer",164613
POINT (-122.390267227177574 37.75789541521997),974 Minnesota Street,,,Malus floribunda,Flowering crab apple,"""summer",171318
POINT (-122.390262941463291 37.757895396821191),900 22nd St,,,Malus floribunda,Flowering crab apple,"""summer",171319
POINT (-122.390258655749008 37.757895378422411),974 Minnesota Street,,,Malus floribunda,Flowering crab apple,"""summer",171320
POINT (-122.405884441653129 37.712760595790172),135 Raymond Ave,,,Malus floribunda,Flowering crab apple,"""summer",174458
POINT (-122.432356774806976 37.734467386051833),633 Chenery St,,,Malus floribunda,Flowering crab apple,"""summer",182778
POINT (-122.402851801163067 37.798508888107833),300 Broadway,,,Malus Fuji,Fuji apple,"""summer",349
POINT (-122.400835160767002 37.720486918052721),3299 San Bruno Ave,,,Malus Fuji,Fuji apple,"""summer",2006
POINT (-122.400829796342535 37.720517469717812),3299 San Bruno Ave,,,Malus Fuji,Fuji apple,"""summer",2007
POINT (-122.400813703078157 37.720580270155352),3299 San Bruno Ave,,,Malus Fuji,Fuji apple,"""summer",2008
POINT (-122.397016560107161 37.75743020014621),700 conneticut,,,Malus Fuji,Fuji apple,"""summer",2009
POINT (-122.3970272889471 37.757442923635878),700 conneticut,,,Malus Fuji,Fuji apple,"""summer",2013
POINT (-122.419552149518509 37.732263152922705),700 alemany,,,Malus Fuji,Fuji apple,"""summer",2022
POINT (-122.439475696043885 37.782652675949407),1451 divisadero,,,Malus Fuji,Fuji apple,"""summer",2037
POINT (-122.439486424874843 37.782660095453934),1451 divisadero,,,Malus Fuji,Fuji apple,"""summer",2038
POINT (-122.419831099249393 37.732301336366092),700 alemany,,,Malus Fuji,Fuji apple,"""summer",2039
POINT (-122.439795744615296 37.725360747959847),137 otsego ave,,,Malus Fuji,Fuji apple,"""summer",2572
POINT (-122.451404278536842 37.725936742444134),50 phelan ave ,,,Malus Fuji,Fuji apple,"""summer",2573
POINT (-122.440047881575339 37.727286771744012),36 Delano Avenue,,,Malus Fuji,Fuji apple,"""summer",2578
POINT (-122.413128779694375 37.770045687309931),555 12th street,,,Malus Fuji,Fuji apple,"""summer",2586
POINT (-122.41311536867363 37.770053108101123),555 12th street,,,Malus Fuji,Fuji apple,"""summer",2587
POINT (-122.38893429801999 37.763739813860155),2030 3rd st #2,,,Malus Fuji,Fuji apple,"""summer",2593
POINT (-122.388931615354096 37.763554278625428),2030 3rd st #2,,,Malus Fuji,Fuji apple,"""summer",2594
POINT (-122.407221813472077 37.708661320455683),256 talbert,,,Malus Fuji,Fuji apple,"""summer",2601
POINT (-122.407231563103451 37.708643698918145),256 talbert,,,Malus Fuji,Fuji apple,"""summer",2602
POINT (-122.463901051456716 37.780922821206765),4131 geary blvd ste 127,,,Malus Fuji,Fuji apple,"""summer",2619
POINT (-122.463618078486064 37.78090374208405),4131 geary blvd ste 127,,,Malus Fuji,Fuji apple,"""summer",2620
POINT (-122.463644900581428 37.780869823537643),4131 geary blvd ste 127,,,Malus Fuji,Fuji apple,"""summer",2621
POINT (-122.463655629385457 37.780900562200451),4131 geary blvd ste 127,,,Malus Fuji,Fuji apple,"""summer",2622
POINT (-122.463846066197988 37.780898442334518),4131 geary blvd ste 127,,,Malus Fuji,Fuji apple,"""summer",2623
POINT (-122.463682451480821 37.780918581422888),4131 geary blvd ste 127,,,Malus Fuji,Fuji apple,"""summer",2624
POINT (-122.428587784687451 37.75798108546833),3919 20th st,,,Malus Fuji,Fuji apple,"""summer",2641
POINT (-122.489851802402612 37.775170533723376),741 30th ave,,,Malus Fuji,Fuji apple,"""summer",2650
POINT (-122.489858507850073 37.775199154598241),741 30th ave,,,Malus Fuji,Fuji apple,"""summer",2651
POINT (-122.418914981530264 37.778805720319404),1 dr carlton b goodlet plaza,,,Malus Fuji,Fuji apple,"""summer",2664
POINT (-122.405247013071602 37.7602028336226),protrero community garden,,,Malus Fuji,Fuji apple,"""summer",2671
POINT (-122.414523102343097 37.750169523904425),2-98 Horace Street,,,Malus Gala,Gala apple,"""summer",1749
POINT (-122.400904898177274 37.720517045353901),3299 San Bruno Ave,,,Malus Gala,Gala apple,"""summer",2004
POINT (-122.39700583126718 37.757434441309677),700 conneticut,,,Malus Gala,Gala apple,"""summer",2015
POINT (-122.381909227347947 37.734956402752196),99 westbrook ct,,,Malus Gala,Gala apple,"""summer",2027
POINT (-122.437581893831023 37.782456866880025),1430 scott,,,Malus Gala,Gala apple,"""summer",2045
POINT (-122.439486424874843 37.782668560169185),1451 divisadero,,,Malus Gala,Gala apple,"""summer",2046
POINT (-122.439495812610915 37.782669045980832),1451 divisadero,,,Malus Gala,Gala apple,"""summer",2049
POINT (-122.460241877280666 37.756064453221867),520 oak park drive,,,Malus Gala,Gala apple,"""summer",2575
POINT (-122.440077715254731 37.727295408008871),36 Delano Avenue,,,Malus Gala,Gala apple,"""summer",2579
POINT (-122.413104639824709 37.770079398873328),555 12th street,,,Malus Gala,Gala apple,"""summer",2588
POINT (-122.413073794426694 37.770013884022909),555 12th street,,,Malus Gala,Gala apple,"""summer",2589
POINT (-122.388932956745421 37.763713732913224),2030 3rd st #2,,,Malus Gala,Gala apple,"""summer",2595
POINT (-122.388942344634231 37.763647788489074),2030 3rd st #2,,,Malus Gala,Gala apple,"""summer",2596
POINT (-122.437666365660107 37.783147814312905),1430 scott,,,Malus Gala,Gala apple,"""summer",2604
POINT (-122.380428157628472 37.733573524398111),266 harbor,,,Malus Gala,Gala apple,"""summer",2609
POINT (-122.380383901182768 37.733550402549405),266 harbor,,,Malus Gala,Gala apple,"""summer",2610
POINT (-122.463862159453441 37.78093766070365),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2625
POINT (-122.463969447843937 37.780926001100781),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2626
POINT (-122.464020409844935 37.78090374208405),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2627
POINT (-122.463939943540822 37.780904802018007),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2628
POINT (-122.46356845759793 37.780914341606113),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2629
POINT (-122.463513472294323 37.780914341596173),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2630
POINT (-122.463427641637594 37.780937660604955),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2631
POINT (-122.463505425707027 37.780924941167825),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2632
POINT (-122.463465192545968 37.780930240916881),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2633
POINT (-122.463546999927019 37.780932869647003),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2634
POINT (-122.463789739844401 37.780941900420395),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2635
POINT (-122.463623442910531 37.78090374208405),4131 geary blvd ste 127,,,Malus Gala,Gala apple,"""summer",2636
POINT (-122.489857166818098 37.775149120968585),741 30th ave,,,Malus Gala,Gala apple,"""summer",2652
POINT (-122.418716498058586 37.778809960257128),1 dr carlton b goodlet plaza,,,Malus Gala,Gala apple,"""summer",2665
POINT (-122.418609209704016 37.778873559227065),1 dr carlton b goodlet plaza,,,Malus Gala,Gala apple,"""summer",2666
POINT (-122.418587752024123 37.779021956762236),1 dr carlton b goodlet plaza,,,Malus Gala,Gala apple,"""summer",2667
POINT (-122.475383466269165 37.748828000000309),900 Quintara Street,,,Malus Gordon,Gordon apple,"""summer",387
POINT (-122.426427253963794 37.733050846730883),4021 Mission Street,,,Citrus paradisi,Grapefruit,"""winter",486
POINT (-122.473230393844077 37.760368747220483),1484 16th Ave.,,,Malus Gravenstein,Gravenstein apple,"""summer",328
POINT (-122.421592428173952 37.745599008220658),625 San Jose Avenue,,,Malus Gravenstein,Gravenstein apple,"""summer",378
POINT (-122.443196999999998 37.730462000000003),251 Hearst Ave,,,Malus Gravenstein,Gravenstein apple,"""summer",380
POINT (-122.439282245365604 37.732487272221974),178 Joost Avenue,,,Malus Gravenstein,Gravenstein apple,"""summer",384
POINT (-122.448103076057549 37.715734679094588),314 Foote Ave,,,Malus Gravenstein,Gravenstein apple,"""summer",471
POINT (-122.473149927575903 37.760340120498078),1484 16th Avenue,,,Prunus domestica,Green gage plum,summer,331
POINT (-122.473144563160417 37.760348602491106),1484 16th Avenue,,,Prunus domestica,Green gage plum,summer,332
POINT (-122.406929224575322 37.718180227132137),495 harkness ave,,,Prunus domestica,Green gage plum,summer,365
POINT (-122.38181669114492 37.734923273319737),99 westbrook ct,,,Prunus domestica,Green gage plum,summer,2025
POINT (-122.439507882545755 37.782686814540156),1401 Divisadero Street,,,Prunus domestica,Green gage plum,summer,2042
POINT (-122.460266017141379 37.756051729494409),520 oak park drive,,,Prunus domestica,Green gage plum,summer,2576
POINT (-122.41275202549167 37.792462313603835),1055 talyor,,,Prunus domestica,Green gage plum,summer,2577
POINT (-122.440420999945758 37.725274417509496),164 otsego ,,,Prunus domestica,Green gage plum,summer,2581
POINT (-122.38894636799975 37.763695497609262),2030 3rd st #2,,,Prunus domestica,Green gage plum,summer,2597
POINT (-122.380354396879639 37.733544038751134),266 harbor,,,Prunus domestica,Green gage plum,summer,2612
POINT (-122.439999850884902 37.725020478968062),185 otsego ave,,,Prunus domestica,Green gage plum,summer,2648
POINT (-122.499808527277125 37.750727212183051),1920 41st ave,,,Prunus domestica,Green gage plum,summer,2669
POINT (-122.406264987022581 37.715329709418164),500 Campbell Ave,,,Prunus domestica,Green gage plum,summer,170899
POINT (-122.406262378326929 37.715329693615388),500 Campbell Ave,,,Prunus domestica,Green gage plum,summer,170900
POINT (-122.406246726153014 37.71532959879876),500 Campbell Ave,,,Prunus domestica,Green gage plum,summer,170908
POINT (-122.405086758743025 37.75977629993659),780 San Bruno Ave,,,Prunus domestica,Green gage plum,summer,171200
POINT (-122.47102020070632 37.710630766666668),1499 Junipero Serra Blvd,37.7106341,-122.4710381,Juglans hindsii,Hinds black walnut,fall,102878
POINT (-122.415412366444798 37.756733872575815),715 Shotwell St,,,Juglans hindsii,Hinds black walnut,fall,183120
POINT (-122.42453008890152 37.746686839930923),1415 Dolores Street,37.746802,-122.424274,Prunus ilicifolia,Hollyleaf cherry,summer,96705
POINT (-122.388876141668334 37.736109649976868),1125 Mendell St,37.736036,-122.388762,Prunus ilicifolia,Hollyleaf cherry,summer,106055
POINT (-122.411117707548698 37.735017170525033),1200 Crescent Ave,,,Prunus ilicifolia,Hollyleaf cherry,summer,165401
POINT (-122.411114374215359 37.735017065744366),1200 Crescent Ave,,,Prunus ilicifolia,Hollyleaf cherry,summer,165556
POINT (-122.411111040882034 37.735016960963698),1200 Crescent Ave,,,Prunus ilicifolia,Hollyleaf cherry,summer,165701
POINT (-122.411107707548695 37.73501685618303),1200 Crescent Ave,,,Prunus ilicifolia,Hollyleaf cherry,summer,165838
POINT (-122.427367409250706 37.722904848258693),315 Athens St,,,Prunus ilicifolia,Hollyleaf cherry,summer,172233
POINT (-122.451827846888591 37.789295860225309),3573 Washington St,,,Prunus ilicifolia,Hollyleaf cherry,summer,172382
POINT (-122.416381292490343 37.754573858861505),1163 South Van Ness Ave,,,Prunus ilicifolia,Hollyleaf cherry,summer,172515
POINT (-122.427367409250706 37.722904848258693),319 Athens St,,,Prunus ilicifolia,Hollyleaf cherry,summer,172658
POINT (-122.416381292490343 37.754573858861505),1163 South Van Ness Ave,,,Prunus ilicifolia,Hollyleaf cherry,summer,172669
POINT (-122.412025670357522 37.754959896340139),2655 Harrison St,,,Prunus ilicifolia,Hollyleaf cherry,summer,172907
POINT (-122.429433005931614 37.800943476852161),3110 Octavia Street,,,Prunus ilicifolia,Hollyleaf cherry,summer,173458
POINT (-122.418523838180761 37.761957923484132),3360 18th St,,,Prunus ilicifolia,Hollyleaf cherry,summer,174507
POINT (-122.432539165019989 37.757986077279305),680 Noe Street,,,Prunus ilicifolia,Hollyleaf cherry,summer,183109
POINT (-122.402360290288925 37.757032876810619),2119 22nd Street,,,Gleditsia triacanthos,Honeylocust,,182049
POINT (-122.443700321432033 37.768513853647796),783 buena vista ,,,Citrus Improved,Improved Meyer lemon,winter,277
POINT (-122.438539822054011 37.767082428811584),102 Buena Vista Terrace,,,Citrus Improved,Improved Meyer lemon,winter,282
POINT (-122.43627784291445 37.73295844815614),194 LIPPARD AVENUE,,,Citrus Improved,Improved Meyer lemon,winter,284
POINT (-122.408619991400215 37.760118999999705),709 York Street,,,Citrus Improved,Improved Meyer lemon,winter,291
POINT (-122.397514734960495 37.712191778122452),241 Tocoloma Ave,,,Citrus Improved,Improved Meyer lemon,winter,293
POINT (-122.459521932548355 37.725648084198959),168 southwood drive,,,Citrus Improved,Improved Meyer lemon,winter,315
POINT (-122.412191186499712 37.751789034054191),2850 Harrison Street,,,Citrus Improved,Improved Meyer lemon,winter,316
POINT (-122.397021699999996 37.757441800000002),699 Connecticut Street,,,Citrus Improved,Improved Meyer lemon,winter,339
POINT (-122.397021699999996 37.757441800000002),connecticut ,,,Citrus Improved,Improved Meyer lemon,winter,340
POINT (-122.427034333735008 37.806578861130632),2 Franklin Street,,,Citrus Improved,Improved Meyer lemon,winter,343
POINT (-122.399243999999996 37.754941000000002),1918 23rd Street,,,Citrus Improved,Improved Meyer lemon,winter,350
POINT (-122.400377000000006 37.715694900000003),1361 Brussels Street,,,Citrus Improved,Improved Meyer lemon,winter,351
POINT (-122.436326131268629 37.770560787788689),722 Waller Street,,,Citrus Improved,Improved Meyer lemon,winter,352
POINT (-122.4099853852492 37.777074120502029),1141 Howard St,,,Citrus Improved,Improved Meyer lemon,winter,353
POINT (-122.463651999999996 37.739075999999997),56 Santa Paula Avenue,,,Citrus Improved,Improved Meyer lemon,winter,361
POINT (-122.440154655815093 37.730563162839552),111 Hearst Ave,,,Citrus Improved,Improved Meyer lemon,winter,372
POINT (-122.438552 37.727808000000003),209 Santa Rosa Avenue,,,Citrus Improved,Improved Meyer lemon,winter,373
POINT (-122.421495868650354 37.745649910303023),629 San Jose Ave,,,Citrus Improved,Improved Meyer lemon,winter,374
POINT (-122.43641719510596 37.733149302119905),182 Lippard,,,Citrus Improved,Improved Meyer lemon,winter,375
POINT (-122.41638432446392 37.75958036649768),548 Shotwell Street,,,Citrus Improved,Improved Meyer lemon,winter,376
POINT (-122.387886644179957 37.73752139625681),900 Mendell Street,,,Citrus Improved,Improved Meyer lemon,winter,377
POINT (-122.421522690736737 37.745645668464043),625 San Jose Avenue,,,Citrus Improved,Improved Meyer lemon,winter,379
POINT (-122.439368076058244 37.732478787035895),178 Joost Avenue,,,Citrus Improved,Improved Meyer lemon,winter,383
POINT (-122.408214017193217 37.792944891311144),901 Sacramento Street,,,Citrus Improved,Improved Meyer lemon,winter,388
POINT (-122.477055813489528 37.745151418685239),900 Santiago Street,,,Citrus Improved,Improved Meyer lemon,winter,391
POINT (-122.434929550976264 37.737029365034907),2600 Diamond street,,,Citrus Improved,Improved Meyer lemon,winter,394
POINT (-122.392583000000002 37.718347),28 Redondo Street,,,Citrus Improved,Improved Meyer lemon,winter,395
POINT (-122.416753474212157 37.759027400000143),3380 20th Street,,,Citrus Improved,Improved Meyer lemon,winter,396
POINT (-122.398507338620576 37.757796865168764),765 Wisconsin Street,,,Citrus Improved,Improved Meyer lemon,winter,400
POINT (-122.402423999999996 37.717652),1171 Goettingen Street,,,Citrus Improved,Improved Meyer lemon,winter,402
POINT (-122.463620906741895 37.749903684970889),401 Pacheco Street,,,Citrus Improved,Improved Meyer lemon,winter,404
POINT (-122.402025848462927 37.758018578023048),912 Rhode Island Street,,,Citrus Improved,Improved Meyer lemon,winter,415
POINT (-122.393074234393353 37.731256336647071),78 Latona Street,,,Citrus Improved,Improved Meyer lemon,winter,421
POINT (-122.416366688325027 37.736228939405365),579 Andover Street,,,Citrus Improved,Improved Meyer lemon,winter,429
POINT (-122.399338999999998 37.752189999999999),39 Caire Terrace,,,Citrus Improved,Improved Meyer lemon,winter,432
POINT (-122.435945067003104 37.729333086687994),214 Cotter Street,,,Citrus Improved,Improved Meyer lemon,winter,434
POINT (-122.431762000000006 37.74978),25th St & Noe St,,,Citrus Improved,Improved Meyer lemon,winter,447
POINT (-122.444830669308246 37.764967066875066),33 Ashbury Terrace,,,Citrus Improved,Improved Meyer lemon,winter,449
POINT (-122.444756152779817 37.765542016396147),15 Piedmont Street,,,Citrus Improved,Improved Meyer lemon,winter,450
POINT (-122.445287279769147 37.765529593021128),191 Delmar St,,,Citrus Improved,Improved Meyer lemon,winter,451
