wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.427791878342603 37.7924493),2201-2235 Octavia Street,37.7924433,-122.427792,Persea americana,Avocado,"""spring",108198
POINT (-122.427791513370394 37.792467300000006),2280 Octavia Street,37.7924433,-122.427792,Persea americana,Avocado,"""spring",108201
POINT (-122.446385553520159 37.766803526258364),831 Ashbury Street,37.766776,-122.446575,Persea americana,Avocado,"""spring",147650
POINT (-122.445297499999995 37.765997900000002),167 Delmar Street,37.7659979,-122.4452975,Persea americana,Avocado,"""spring",149272
POINT (-122.40616500377655 37.74789573716005),34-48 Peralta Avenue,,,Persea americana,Avocado,"""spring",152131
POINT (-122.407321035861969 37.779453690046623),1011 Howard Street,,,Persea americana,Avocado,"""spring",173670
POINT (-122.428336143493652 37.733898891605946),77 Cuvier Street,,,Persea americana,Avocado,"""spring",182144
POINT (-122.428341507911682 37.733896770349837),77 Cuvier St,,,Persea americana,Avocado,"""spring",182535
POINT (-122.433024644851685 37.757502586696603),4119 20th Street,,,Persea americana,Avocado,"""spring",182661
POINT (-122.410743534564972 37.740936884730139),22 Nebraska Street,,,Persea americana,Avocado,"""spring",182717
POINT (-122.419038637440877 37.745720199458468),24 Powers Avenue,,,Pyrus communis,Bartlett pear,fall,393
POINT (-122.437960000000004 37.7984),2323 Greenwich Street,,,Pyrus communis,Bartlett pear,fall,401
POINT (-122.316102835396279 37.563503961879455),820 South Delaware Street,,,Corylus cornuta,Beaked hazelnut,fall,247
POINT (-122.418494271428571 37.732240222752935),600 Alemany Blvd,37.7322401,-122.4184282,Corylus cornuta,Beaked hazelnut,fall,171631
POINT (-122.418428886137946 37.732269950746264),600 Alemany Blvd,37.7322401,-122.4184282,Corylus cornuta,Beaked hazelnut,fall,171632
POINT (-122.418492485714282 37.732240219435283),600 Alemany Blvd,37.7322401,-122.4184282,Corylus cornuta,Beaked hazelnut,fall,171633
POINT (-122.462559478063426 37.762645047374114),3032 Judah Street,,,Citrus,Bearss lime,"""spring",281
POINT (-122.43689392393955 37.76799756362896),45 Divisadero Street,,,Citrus,Bearss lime,"""spring",285
POINT (-122.436554999999998 37.766227999999998),255 Henry Street,,,Citrus,Bearss lime,"""spring",286
POINT (-122.398964403206804 37.735404363655078),49 Robblee Ave,,,Citrus,Bearss lime,"""spring",294
POINT (-122.464989000000003 37.765135999999998),1248 8th Avenue,,,Citrus,Bearss lime,"""spring",300
POINT (-122.402258580519231 37.755476860436694),1133 kansas,,,Citrus,Bearss lime,"""spring",302
POINT (-122.431753489583244 37.725059916240198),210 Lisbon Street,,,Citrus,Bearss lime,"""spring",310
