110,Malus Prof,Prof Sprenger apple,1,0,"summer, fall"
111,Malus Red,Red Baron apple,1,0,"summer, fall"
112,Malus Red,Red Fuji apple,1,0,"summer, fall"
113,Malus Robinson,Robinson apple,1,0,"summer, fall"
114,Malus Royalty,Royalty apple,1,0,"summer, fall"
115,Malus Winter,Winter Banana apple,1,12,"summer, fall"
116,Malus Yellow,Yellow Delicious,1,0,"summer, fall"
117,Malus,Anna apple,1,21,"summer, fall"
118,Malus,Beverly Hills apple,1,18,"summer, fall"
119,Malus,Apple,1,20,"summer, fall"
120,Melaleuca,Paperbark,0,19,
121,Metrosideros robusta,Northern rata,0,1,
122,Michelia doltsopa,Sweet michelia,0,1,
123,Acacia cognata,River wattle,0,1,
124,Michelia xfoggii,Jack Fogg michelia,0,0,
125,Michelia xfoggii,Banana shrub,0,0,
126,Morus alba,Fruitless white mulberry,0,0,
127,Myoporum laetum,Carson myoporum,0,0,
128,Olea europaea,Fruitless olive,0,14,
129,Olea europaea,Majestic Beauty olive,0,12,
130,Olea europaea,Manzanillo olive,0,0,
131,Olea europaea,Monher olive,0,0,
132,Olea europaea,Wilsonii olive,0,6,
133,Persea americana,Stewart avocado,1,1,"spring, summer, fall, winter"
134,Persea americana,Zutano avocado,1,0,"spring, summer, fall, winter"
135,Pinus,Pine,0,188,
136,Pittosporum,Box,0,43,
137,Podocarpus henkelii,Long-leaf yellow wood,0,0,
138,Populus nigra,Black poplar,0,0,
139,Acacia decurrens,Green acacia,0,18,
140,Populus,Poplar,0,20,
141,Prunus avium,Sweet cherry,1,0,"spring, summer"
142,Prunus Bing,Bing cherry,1,1,"spring, summer"
143,Prunus Black,Bing cherry,1,0,"spring, summer"
144,Prunus domestica,Common plum,1,7,summer
145,Prunus spinosa,Blackthorn,0,0,
146,Prunus xblireiana,Flowering plum,0,3,
147,Prunus xyedoensis,Akebono cherry,0,1,
148,Prunus,Cherry  ,0,42,
149,Punica granatum,Pomegranate,0,0,
150,Pyracantha koidzumii,Santa Cruz pyracantha,0,0,
151,Pyracantha koidzumii,Formosa firethorn,0,0,
152,Pyrus communis,Bartlett pear,1,2,fall
153,Pyrus communis,Common pear,1,6,fall
154,Pyrus pyrifolia,Chinese pear,0,4,
155,Pyrus,Pear,0,23,
156,Quercus frainetto,Italian oak,0,0,
157,Quercus wislizeni,Interior live oak,0,5,
158,Quercus,Oak,0,34,
159,Rhaphiolepis indica,Majestic Beauty indian hawthorne,0,2,
160,Robinia xambigua,Idaho black locust,0,0,
161,Salix,Willow ,0,4,
162,Taxus brevifolia,Pacific yew,0,1,
163,Tristaniopsis laurina,Elegant water gum,0,58,
164,Ulmus procera,Frontier English elm,0,0,
165,Ulmus Prospector,Prospector elm,0,0,
