182932,86411,2
2567,88946,2
157576,158,2
110808,199,2
111654,235,2
91780,269,2
91837,286,2
176702,315,2
182948,438,2
182949,441,2
182950,443,2
182951,445,2
274,772,2
182952,1298,2
96372,1556,2
111541,18863,2
91770,19782,2
182403,39771,2
100435,43448,2
182934,47646,2
91814,63066,2
111680,64161,2
111681,64697,2
112053,67629,2
91818,67939,2
91779,67984,2
91822,68146,2
91778,68260,2
91782,68285,2
91836,68722,2
91786,68788,2
91800,68945,2
91835,69015,2
91791,69134,2
91839,69228,2
176704,69838,2
91785,70093,2
91829,70129,2
96409,73698,2
105431,73702,2
110807,73717,2
100408,73718,2
111658,73719,2
91805,73720,2
91809,73721,2
111659,73722,2
111542,73723,2
91772,73724,2
91815,73725,2
91807,73726,2
110766,73727,2
91802,73729,2
91803,73730,2
91810,73731,2
91808,73732,2
111655,73733,2
91806,73734,2
91771,73735,2
91813,73736,2
91763,73737,2
91804,73738,2
91821,73739,2
91823,73740,2
91819,73741,2
91783,73742,2
91781,73743,2
91820,73744,2
112052,73745,2
91817,73746,2
112051,73747,2
91811,73749,2
91824,73750,2
91840,73751,2
91838,73752,2
91797,73753,2
91793,73754,2
91789,73755,2
91796,73756,2
91798,73757,2
91826,73758,2
91833,73759,2
91801,73760,2
91787,73761,2
91795,73762,2
91834,73763,2
91790,73764,2
91827,73765,2
91830,73766,2
91831,73767,2
91832,73768,2
176701,73769,2
176703,73770,2
91825,73771,2
91794,73772,2
91799,73773,2
91828,73774,2
91792,73775,2
91788,73780,2
91812,75219,2
110599,80716,2
110810,80730,2
603,86908,6
1474,87783,6
256,596,6
255,1313,6
1382,87691,7
97405,83248,14
1364,87673,14
1365,87674,14
1367,87676,14
1366,87675,14
1370,87679,14
1368,87677,14
1369,87678,14
1371,87680,14
1372,87681,14
1374,87683,14
1373,87682,14
1375,87684,14
1376,87685,14
1378,87687,14
1377,87686,14
1379,87688,14
1380,87689,14
1363,87672,14
125068,36357,14
125067,35364,14
1729,88041,14
1730,88042,14
1744,88057,14
182281,299,14
182280,300,14
182282,301,14
182283,302,14
182285,303,14
182288,304,14
182287,305,14
116166,337,14
118173,10358,14
149320,36163,14
154,42979,14
100409,43449,14
130427,46222,14
156432,48105,14
182286,51339,14
118174,56424,14
130423,73776,14
130429,73777,14
130425,73778,14
130426,73779,14
130428,73781,14
179222,73782,14
111330,73784,14
94789,81731,14
130424,81751,14
599,86904,17
96554,73785,17
96492,81307,17
268,920,18
149624,84626,20
2052,88398,20
2102,88447,20
2386,88765,20
2381,88760,20
2396,88775,20
2412,88791,20
2422,88801,20
2426,88805,20
2440,88819,20
2441,88820,20
2462,88841,20
2475,88854,20
2476,88855,20
2480,88859,20
2483,88862,20
2543,88922,20
2544,88923,20
2555,88934,20
2557,88936,20
2546,88925,20
2558,88937,20
2559,88938,20
2565,88944,20
2547,88926,20
2542,88921,20
128948,157,20
152338,335,20
126368,7390,20
1472,87781,23
1741,88054,24
519,15,25
518,176,25
751,87060,30
752,87061,30
753,87062,30
948,87257,30
2368,88747,30
2548,88927,30
320,1139,31
323,1140,31
321,1150,31
1389,87698,32
2363,88742,32
2092,88437,36
2093,88438,36
2116,88461,36
2122,88467,36
2118,88463,36
2117,88462,36
503,1359,38
449,1185,40
1721,88033,40
1742,88055,40
481,1811,40
291,219,40
352,260,40
374,268,40
551,343,40
456,1259,40
462,1274,40
316,1275,40
527,18,40
485,42,40
472,87,40
545,99,40
182358,152,40
526,183,40
525,184,40
468,185,40
470,186,40
483,187,40
528,196,40
547,203,40
480,204,40
529,207,40
343,225,40
350,228,40
353,229,40
372,241,40
339,243,40
379,252,40
434,270,40
415,274,40
432,275,40
451,279,40
388,283,40
447,284,40
453,285,40
490,287,40
509,290,40
459,292,40
429,293,40
282,318,40
391,319,40
461,320,40
469,328,40
277,1087,40
284,1124,40
293,1136,40
373,1156,40
351,1157,40
340,1166,40
375,1179,40
383,1180,40
421,1182,40
452,1186,40
376,1190,40
450,1191,40
489,1193,40
377,1206,40
454,1210,40
455,1247,40
315,1276,40
463,1279,40
457,1280,40
394,1331,40
458,1332,40
361,1334,40
464,1335,40
395,1336,40
465,1337,40
396,1360,40
466,1361,40
467,1385,40
400,1483,40
402,1531,40
474,1563,40
404,1586,40
482,1825,40
484,1901,40
487,1965,40
488,1997,40
575,86880,41
1465,87774,41
1737,88050,41
117521,8487,41
1841,88158,41
2180,88531,41
2355,88734,41
427,259,41
423,263,41
515,17,41
540,195,41
418,280,41
182035,376,41
448,1172,41
428,1178,41
442,1181,41
416,1183,41
424,1184,41
417,1248,41
504,1362,41
486,333,42
289,215,44
341,224,44
368,237,44
347,247,44
283,316,44
308,322,44
312,1068,44
287,1125,44
314,1131,44
288,1135,44
306,1149,44
366,1160,44
369,1162,44
370,1173,44
309,1249,44
558,86860,45
348,246,45
386,1164,45
338,236,46
412,257,46
275,1088,46
337,223,47
182716,76,48
182284,77,48
198,125,48
